CountryName,Country-Alpha-3Code,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Australia,AUS,40,20200125,0,0,0,0,0,0,0,0,2,1,2,1,0,1,18.94,1,1,1,1
Australia,AUS,40,20200126,0,0,0,0,0,0,0,0,2,1,2,4,0,0,18.94,,,,
Australia,AUS,40,20200127,0,0,0,0,0,0,0,0,2,1,2,4,0,0,18.94,,,,
Australia,AUS,40,20200128,0,0,0,0,0,0,0,0,2,1,2,4,0,0,18.94,,,,
Australia,AUS,40,20200129,0,0,0,0,0,0,0,0,2,1,2,4,0,0,18.94,,,,
Australia,AUS,40,20200130,0,0,0,0,0,0,0,0,2,1,2,6,0,0,18.94,,,,
Australia,AUS,40,20200131,0,0,0,0,0,0,0,0,2,1,2,7,0,0,18.94,,,,
Australia,AUS,40,20200201,0,0,0,0,0,0,0,3,2,1,2,9,0,1,25.76,1,1,1,1
Australia,AUS,40,20200202,0,0,0,0,0,0,0,3,2,1,2,11,0,0,25.76,,,,
Australia,AUS,40,20200203,0,0,0,0,0,0,0,3,2,1,2,11,0,1,28.03,1,1,1,1
Australia,AUS,40,20200204,0,0,0,0,0,0,0,3,2,1,2,11,0,0,28.03,,,,
Australia,AUS,40,20200205,0,0,0,0,0,0,0,3,2,1,2,12,0,0,28.03,,,,
Australia,AUS,40,20200206,0,0,0,0,0,0,0,3,2,1,2,13,0,0,28.03,,,,
Australia,AUS,40,20200207,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200208,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200209,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200210,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200211,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200212,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200213,0,0,0,0,0,0,0,3,2,1,2,14,0,0,28.03,,,,
Australia,AUS,40,20200214,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200215,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200216,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200217,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200218,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200219,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200220,0,0,0,0,0,0,0,3,2,1,2,15,0,0,28.03,,,,
Australia,AUS,40,20200221,0,0,0,0,0,0,0,3,2,1,2,17,0,0,28.03,,,,
Australia,AUS,40,20200222,0,0,0,0,0,0,0,3,2,1,2,21,0,0,28.03,,,,
Australia,AUS,40,20200223,0,0,0,0,0,0,0,3,2,1,2,22,0,0,28.03,,,,
Australia,AUS,40,20200224,0,0,0,0,0,0,0,3,2,1,2,22,0,0,28.03,,,,
Australia,AUS,40,20200225,0,0,0,0,0,0,0,3,2,1,2,22,0,0,28.03,,,,
Australia,AUS,40,20200226,0,0,0,0,0,0,0,3,2,1,2,22,0,0,28.03,,,,
Australia,AUS,40,20200227,0,0,0,0,0,0,0,3,2,1,2,23,0,0,28.03,,,,
Australia,AUS,40,20200228,0,0,0,0,0,0,0,3,2,1,2,23,0,0,28.03,,,,
Australia,AUS,40,20200229,0,0,0,0,0,0,0,3,2,1,2,25,0,0,28.03,,,,
Australia,AUS,40,20200301,0,0,0,0,0,0,0,3,2,1,2,26,1,0,28.03,,,,
Australia,AUS,40,20200302,0,0,0,0,0,0,0,3,2,1,2,29,1,0,28.03,,,,
Australia,AUS,40,20200303,0,0,0,0,0,0,0,3,2,1,2,33,1,0,28.03,,,,
Australia,AUS,40,20200304,0,0,0,0,0,0,0,3,2,1,2,41,1,0,28.03,,,,
Australia,AUS,40,20200305,0,0,0,0,0,0,0,3,2,1,2,52,2,0,28.03,,,,
Australia,AUS,40,20200306,0,0,0,0,0,0,0,3,2,1,2,59,2,0,28.03,,,,
Australia,AUS,40,20200307,0,0,0,0,0,0,0,3,2,1,2,63,2,0,28.03,,,,
Australia,AUS,40,20200308,0,0,0,0,0,0,0,3,2,1,2,74,3,0,28.03,,,,
Australia,AUS,40,20200309,0,0,0,0,0,0,0,3,2,1,2,80,3,0,28.03,,,,
Australia,AUS,40,20200310,0,0,0,0,0,0,0,3,2,1,2,100,3,0,28.03,,,,
Australia,AUS,40,20200311,0,0,0,0,0,0,0,3,2,1,2,112,3,0,28.03,,,,
Australia,AUS,40,20200312,0,0,0,0,0,0,0,3,2,1,2,126,3,0,28.03,,,,
Australia,AUS,40,20200313,0,0,0,0,0,0,0,3,2,1,2,156,3,0,28.03,,,,
Australia,AUS,40,20200314,0,0,0,0,0,0,0,3,2,1,2,197,3,0,28.03,,,,
Australia,AUS,40,20200315,0,0,0,0,0,0,0,3,2,1,2,249,3,0,28.03,,,,
Australia,AUS,40,20200316,0,0,1,2,0,0,0,3,2,1,2,298,5,1,34.85,1,1,-1,-1
Australia,AUS,40,20200317,0,0,1,2,0,0,0,3,2,1,2,375,5,0,34.85,,,,
Australia,AUS,40,20200318,0,0,2,2,0,0,0,3,2,1,2,454,5,1,39.39,1,1,-1,-1
Australia,AUS,40,20200319,0,0,2,2,0,0,2,3,2,1,2,565,6,1,46.21,1,1,-1,-1
Australia,AUS,40,20200320,0,0,2,2,0,0,2,4,2,1,2,709,6,1,48.48,1,1,-1,-1
Australia,AUS,40,20200321,0,0,2,2,0,0,2,4,2,1,2,874,7,0,48.48,,,,
Australia,AUS,40,20200322,0,0,2,2,0,0,2,4,2,1,2,1098,7,0,48.48,,,,
Australia,AUS,40,20200323,0,2,2,2,0,0,2,4,2,1,1,1709,7,0,48.48,,,,
Australia,AUS,40,20200324,3,2,2,3,0,1,2,4,2,1,1,1823,7,1,60.23,1,-1,-1,-1
Australia,AUS,40,20200325,3,2,2,3,0,1,2,4,2,1,1,2423,8,0,60.23,,,,
Australia,AUS,40,20200326,3,2,2,3,0,1,2,4,2,1,1,2799,11,0,60.23,,,,
Australia,AUS,40,20200327,3,2,2,3,0,1,2,4,2,1,1,3166,13,0,60.23,,,,
Australia,AUS,40,20200328,3,2,2,3,0,1,2,4,2,1,1,3378,13,0,60.23,,,,
Australia,AUS,40,20200329,3,2,2,4,0,1,2,4,2,1,1,3809,14,1,65.91,-1,-1,-1,-1
Australia,AUS,40,20200330,3,2,2,4,0,1,2,4,2,1,1,4093,16,0,65.91,,,,
Australia,AUS,40,20200331,3,2,2,4,0,1,2,4,2,1,1,4557,19,0,65.91,,,,
Australia,AUS,40,20200401,3,2,2,4,0,1,2,4,2,1,1,4707,20,0,65.91,,,,
Australia,AUS,40,20200402,3,2,2,4,0,2,2,4,2,1,1,4976,21,1,67.42,-1,-1,-1,-1
Australia,AUS,40,20200403,3,2,2,4,0,2,2,4,2,1,1,5224,23,0,67.42,,,,
Australia,AUS,40,20200404,3,2,2,4,0,2,2,4,2,1,1,5548,30,0,67.42,,,,
Australia,AUS,40,20200405,3,2,2,4,0,2,2,4,2,1,1,5687,34,0,67.42,,,,
Australia,AUS,40,20200406,3,2,2,4,0,2,2,4,2,1,1,5744,36,0,67.42,,,,
Australia,AUS,40,20200407,3,2,2,4,0,2,2,4,2,1,1,5844,42,0,67.42,,,,
Australia,AUS,40,20200408,3,2,2,4,0,2,2,4,2,1,1,5956,45,0,67.42,,,,
Australia,AUS,40,20200409,3,2,2,4,0,2,2,4,2,1,1,6052,50,0,67.42,,,,
Australia,AUS,40,20200410,3,2,2,4,0,2,2,4,2,1,1,6152,52,0,67.42,,,,
Australia,AUS,40,20200411,3,2,2,4,0,2,2,4,2,1,1,6238,54,0,67.42,,,,
Australia,AUS,40,20200412,3,2,2,4,0,2,2,4,2,1,1,6289,57,0,67.42,,,,
Australia,AUS,40,20200413,3,2,2,4,0,2,2,4,2,1,1,6322,61,0,67.42,,,,
Australia,AUS,40,20200414,3,2,2,4,0,2,2,4,2,1,1,6366,61,0,67.42,,,,
Australia,AUS,40,20200415,3,2,2,4,0,2,2,4,2,1,1,6416,61,0,67.42,,,,
Australia,AUS,40,20200416,3,2,2,4,0,2,2,4,2,1,1,6458,63,0,67.42,,,,
Australia,AUS,40,20200417,3,2,2,4,0,2,2,4,2,1,1,6497,63,0,67.42,,,,
Australia,AUS,40,20200418,2,2,2,4,0,2,2,4,2,1,1,6533,67,1,64.39,-1,-1,-1,-1
Australia,AUS,40,20200419,2,2,2,4,0,2,2,4,2,1,1,6586,69,0,64.39,,,,
Australia,AUS,40,20200420,2,2,2,4,0,2,2,4,2,1,1,6612,70,0,64.39,,,,
Australia,AUS,40,20200421,2,2,2,4,0,2,2,4,2,1,1,6625,71,0,64.39,,,,
Australia,AUS,40,20200422,2,2,2,4,0,2,2,4,2,1,1,6647,74,0,64.39,,,,
Australia,AUS,40,20200423,2,2,2,4,0,2,2,4,2,1,1,6654,74,0,64.39,,,,
Australia,AUS,40,20200424,2,2,2,4,0,2,2,4,2,1,1,6667,75,0,64.39,,,,
Australia,AUS,40,20200425,2,2,2,4,0,2,2,4,2,1,1,6687,79,0,64.39,,,,
Australia,AUS,40,20200426,2,2,2,4,0,2,2,4,2,1,1,6703,81,0,64.39,,,,
Australia,AUS,40,20200427,2,2,2,4,0,2,2,4,2,1,1,6713,83,0,64.39,,,,
Australia,AUS,40,20200428,2,2,2,4,0,2,2,4,2,1,1,6725,84,0,64.39,,,,
Australia,AUS,40,20200429,2,2,2,4,0,2,2,4,2,1,1,6738,88,0,64.39,,,,
Australia,AUS,40,20200430,2,2,2,4,0,2,2,4,2,1,1,6746,90,0,64.39,,,,
Australia,AUS,40,20200501,2,2,2,4,0,2,2,4,2,1,1,6762,92,0,64.39,,,,
Australia,AUS,40,20200502,2,2,2,4,0,2,2,4,2,1,1,6767,93,0,64.39,,,,
Australia,AUS,40,20200503,2,2,2,4,0,2,2,4,2,1,1,6783,93,0,64.39,,,,
Australia,AUS,40,20200504,2,2,2,4,0,2,2,4,2,1,1,6801,95,0,64.39,,,,
Australia,AUS,40,20200505,2,2,2,4,0,2,2,4,2,1,1,6825,95,0,64.39,,,,
Australia,AUS,40,20200506,2,2,2,4,0,2,2,4,2,1,1,6849,96,0,64.39,,,,
Australia,AUS,40,20200507,2,2,2,4,0,2,2,4,2,1,1,6875,97,0,64.39,,,,
Australia,AUS,40,20200508,2,2,2,4,0,2,2,4,2,1,1,6896,97,0,64.39,,,,
Australia,AUS,40,20200509,2,2,2,4,0,2,2,4,2,1,1,6914,97,0,64.39,,,,
Australia,AUS,40,20200510,2,2,2,4,0,2,2,4,2,1,1,6929,97,0,64.39,,,,
Australia,AUS,40,20200511,2,2,2,4,0,2,2,4,2,1,1,6941,97,0,64.39,,,,
Australia,AUS,40,20200512,2,2,2,4,0,2,2,4,2,1,1,6948,97,0,64.39,,,,
Australia,AUS,40,20200513,2,2,2,4,0,2,2,4,2,1,1,6964,97,0,64.39,,,,
Australia,AUS,40,20200514,2,2,2,4,0,2,2,4,2,1,1,6975,98,0,64.39,,,,
Australia,AUS,40,20200515,2,1,2,4,0,1,2,4,2,2,1,6989,98,0,64.39,,,,
Australia,AUS,40,20200516,2,1,2,4,0,1,2,4,2,2,1,7019,98,1,63.26,-1,-1,-1,-1
Australia,AUS,40,20200517,2,1,2,4,0,1,2,4,2,2,1,7036,98,0,63.26,,,,
Australia,AUS,40,20200518,2,1,2,4,0,1,2,4,2,2,1,7045,98,0,63.26,,,,
Australia,AUS,40,20200519,2,1,2,4,0,1,2,4,2,2,1,7060,99,0,63.26,,,,
Australia,AUS,40,20200520,2,1,2,4,0,1,2,4,2,2,1,7068,99,0,63.26,,,,
Australia,AUS,40,20200521,2,1,2,4,0,1,2,4,2,2,1,7079,100,0,63.26,,,,
Australia,AUS,40,20200522,2,1,2,4,0,1,2,4,2,2,1,7081,100,0,63.26,,,,
Australia,AUS,40,20200523,2,1,2,4,0,1,2,4,2,2,1,7095,101,0,63.26,,,,
Australia,AUS,40,20200524,2,1,2,4,0,1,2,4,2,2,1,7106,102,0,63.26,,,,
Australia,AUS,40,20200525,2,1,2,4,0,1,2,4,2,2,1,7109,102,1,61.74,-1,-1,-1,-1
Australia,AUS,40,20200526,2,1,2,4,0,1,2,4,2,2,1,7118,102,0,61.74,,,,
Australia,AUS,40,20200527,2,1,2,4,0,1,2,4,2,2,1,7133,102,0,61.74,,,,
Australia,AUS,40,20200528,2,1,2,4,0,1,2,4,2,2,1,7139,102,0,61.74,,,,
Australia,AUS,40,20200529,2,1,2,4,0,0,2,4,2,2,1,7150,102,1,60.23,-1,-1,-1,1
Australia,AUS,40,20200530,2,1,2,4,0,0,2,4,2,2,1,7173,102,0,60.23,,,,
Australia,AUS,40,20200531,2,1,2,4,0,0,2,4,2,2,1,7185,102,0,60.23,,,,
Australia,AUS,40,20200601,2,1,2,3,0,0,2,4,2,2,1,7195,102,1,59.09,-1,-1,-1,1
Australia,AUS,40,20200602,2,1,2,3,0,0,2,4,2,2,1,7204,102,0,59.09,,,,
Australia,AUS,40,20200603,2,1,2,3,0,0,2,4,2,2,1,7221,102,0,59.09,,,,
Australia,AUS,40,20200604,2,1,2,3,0,0,2,4,2,2,1,7229,102,0,59.09,,,,
Australia,AUS,40,20200605,2,1,2,3,0,0,2,4,2,2,1,7240,102,0,59.09,,,,
Australia,AUS,40,20200606,2,1,2,3,0,0,2,4,2,2,1,7251,102,0,59.09,,,,
Australia,AUS,40,20200607,2,1,2,3,0,0,2,4,2,2,1,7255,102,0,59.09,,,,
Australia,AUS,40,20200608,2,1,2,3,0,0,2,4,2,2,1,7260,102,0,59.09,,,,
Australia,AUS,40,20200609,0,1,2,3,0,0,2,4,2,2,1,7265,102,1,54.55,-1,1,1,1
Australia,AUS,40,20200610,0,1,2,3,0,0,2,4,2,2,1,7267,102,0,54.55,,,,
Australia,AUS,40,20200611,0,1,2,3,0,0,2,4,2,2,1,7276,102,0,54.55,,,,
Australia,AUS,40,20200612,0,1,1,3,0,0,2,4,2,2,1,7285,102,1,46.59,1,1,1,
Australia,AUS,40,20200613,0,1,1,3,0,0,2,4,2,2,1,7290,102,0,46.59,,,,
Australia,AUS,40,20200614,0,1,1,3,0,0,2,4,2,2,1,7302,102,0,46.59,,,,
Australia,AUS,40,20200615,0,1,1,3,0,0,2,4,2,2,1,7320,102,0,46.59,,,,
Australia,AUS,40,20200616,0,1,1,3,0,0,2,4,2,2,1,7335,102,0,46.59,,,,
Australia,AUS,40,20200617,0,1,1,3,0,0,2,4,2,2,1,7347,102,0,46.59,,,,
Australia,AUS,40,20200618,0,1,1,3,0,0,2,4,2,2,1,7370,102,0,46.59,,,,
Australia,AUS,40,20200619,0,1,1,3,0,0,2,4,2,2,2,7391,102,1,51.14,1,1,,
Australia,AUS,40,20200620,0,1,1,3,0,0,2,4,2,2,2,7409,102,0,51.14,,,,
Australia,AUS,40,20200621,0,1,1,3,0,0,2,4,2,2,2,7436,102,0,51.14,,,,
Australia,AUS,40,20200622,0,1,1,3,0,0,2,4,2,2,2,7461,102,0,51.14,,,,
Australia,AUS,40,20200623,2,1,1,3,0,0,2,4,2,2,2,7474,102,1,55.68,1,1,,
Australia,AUS,40,20200624,2,1,1,3,0,0,2,4,2,2,2,7492,102,0,55.68,,,,
Australia,AUS,40,20200625,2,1,1,3,0,0,2,4,2,2,2,7521,103,0,55.68,,,,
Australia,AUS,40,20200626,2,1,1,3,0,0,2,4,2,2,2,7558,104,0,55.68,,,,
Australia,AUS,40,20200627,2,1,1,3,0,0,2,4,2,2,2,7595,104,0,55.68,,,,
Australia,AUS,40,20200628,2,1,1,3,0,0,2,4,2,2,2,7641,104,0,55.68,,,,
Australia,AUS,40,20200629,2,1,1,3,0,0,2,4,2,2,2,7686,104,0,55.68,,,,
Australia,AUS,40,20200630,2,1,1,3,0,0,2,4,2,2,2,7767,104,0,55.68,,,,
Australia,AUS,40,20200701,3,3,2,3,0,2,2,4,2,2,2,7834,104,1,72.35,1,,,
Australia,AUS,40,20200702,3,3,2,3,0,2,2,4,2,2,2,7920,104,0,72.35,,,,
Australia,AUS,040,20200703,3,2,2,3,1,2,2,4,2,3,2,8001,104,0,74.62,,,,
Australia,AUS,040,20200704,3,2,2,3,1,2,2,4,2,3,2,8255,104,0,74.62,,,,
Australia,AUS,040,20200705,3,2,2,3,1,2,2,4,2,3,2,8362,104,0,74.62,,,,
Australia,AUS,040,20200706,3,2,2,3,1,2,2,4,2,3,2,8449,104,0,74.62,,,,
Australia,AUS,040,20200707,3,2,2,3,1,2,2,4,2,3,2,8586,106,0,74.62,,,,
Australia,AUS,040,20200708,3,2,2,3,1,3,2,4,2,3,2,8755,106,1,77.65,,,,
Australia,AUS,040,20200709,3,2,2,3,1,3,2,4,2,3,2,8886,106,0,77.65,,,,
Australia,AUS,040,20200710,3,2,2,3,1,3,2,4,2,3,2,9059,106,0,77.65,,,,
Australia,AUS,040,20200711,3,2,2,3,1,3,2,4,2,3,2,9359,106,0,77.65,,,,
Australia,AUS,040,20200712,3,2,2,3,1,3,2,4,2,3,2,9553,107,0,77.65,,,,
Australia,AUS,040,20200713,2,2,2,3,1,3,2,4,2,3,2,9797,108,1,74.62,,,,
Australia,AUS,040,20200714,2,2,2,3,1,3,2,4,2,3,2,9980,108,0,74.62,,,,
Australia,AUS,040,20200715,2,2,2,3,1,3,2,4,2,3,2,10251,108,0,74.62,,,,
Australia,AUS,040,20200716,2,2,2,4,1,2,2,4,2,3,2,10495,111,1,73.86,,,,
Australia,AUS,040,20200717,2,2,2,4,1,2,2,4,2,3,2,10810,113,0,73.86,,,,
Australia,AUS,040,20200718,2,2,2,4,1,2,2,4,2,3,2,11235,116,0,73.86,,,,
Australia,AUS,040,20200719,2,2,2,4,1,2,2,4,2,3,2,11441,118,0,73.86,,,,
Australia,AUS,040,20200720,2,2,2,4,1,2,2,4,2,3,2,11802,122,0,73.86,,,,
Australia,AUS,040,20200721,2,2,2,4,1,2,2,4,2,3,2,12069,123,0,73.86,,,,
