CountryName,Country-Alpha-3Code,CountryCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,ConfirmedCases,ConfirmedDeaths,HealthIndexChange,ContainmentHealthIndex,Cases after 1 week,Cases after 2 weeks,Cases after 3 weeks,Cases after 4 weeks
Australia,AUS,040,20200125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,1,0,1,18.94,1,1,1,1
Australia,AUS,040,20200201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,9,0,1,25.76,1,1,1,1
Australia,AUS,040,20200203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,11,0,1,28.03,1,1,1,1
Australia,AUS,040,20200316,0.00,0.00,1.00,2.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,298,5,1,34.85,1,1,-1,-1
Australia,AUS,040,20200318,0.00,0.00,2.00,2.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,454,5,1,39.39,1,1,-1,-1
Australia,AUS,040,20200319,0.00,0.00,2.00,2.00,0.00,0.00,2.00,3.00,2.00,1.00,2.00,565,6,1,46.21,1,1,-1,-1
Australia,AUS,040,20200320,0.00,0.00,2.00,2.00,0.00,0.00,2.00,4.00,2.00,1.00,2.00,709,6,1,48.48,1,1,-1,-1
Australia,AUS,040,20200324,3.00,2.00,2.00,3.00,0.00,1.00,2.00,4.00,2.00,1.00,1.00,1823,7,1,60.23,1,-1,-1,-1
Australia,AUS,040,20200329,3.00,2.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,1.00,1.00,3809,14,1,65.91,-1,-1,-1,-1
Australia,AUS,040,20200402,3.00,2.00,2.00,4.00,0.00,2.00,2.00,4.00,2.00,1.00,1.00,4976,21,1,67.42,-1,-1,-1,-1
Australia,AUS,040,20200418,2.00,2.00,2.00,4.00,0.00,2.00,2.00,4.00,2.00,1.00,1.00,6533,67,1,64.39,-1,-1,-1,-1
Australia,AUS,040,20200516,2.00,1.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,2.00,1.00,7019,98,1,63.26,-1,-1,-1,-1
Australia,AUS,040,20200525,2.00,1.00,2.00,4.00,0.00,1.00,2.00,4.00,2.00,2.00,1.00,7109,102,1,61.74,-1,-1,-1,-1
Australia,AUS,040,20200529,2.00,1.00,2.00,4.00,0.00,0.00,2.00,4.00,2.00,2.00,1.00,7150,102,1,60.23,-1,-1,-1,1
Australia,AUS,040,20200601,2.00,1.00,2.00,3.00,0.00,0.00,2.00,4.00,2.00,2.00,1.00,7195,102,1,59.09,-1,-1,-1,1
Australia,AUS,040,20200609,0.00,1.00,2.00,3.00,0.00,0.00,2.00,4.00,2.00,2.00,1.00,7265,102,1,54.55,-1,1,1,1
Brazil,BRA,076,20200226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1,0,1,7.58,1,1,1,1
Brazil,BRA,076,20200302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,2,0,1,12.12,1,1,1,1
Brazil,BRA,076,20200312,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,52,0,1,26.52,1,1,1,1
Brazil,BRA,076,20200313,3.00,1.00,2.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00,0.00,77,0,1,34.09,1,1,1,1
Brazil,BRA,076,20200314,3.00,1.00,2.00,2.00,0.00,1.00,0.00,2.00,2.00,1.00,0.00,98,0,1,37.50,1,1,1,1
Brazil,BRA,076,20200317,3.00,3.00,2.00,2.00,0.00,1.00,2.00,2.00,2.00,1.00,0.00,234,0,1,50.38,1,1,1,1
Brazil,BRA,076,20200318,3.00,3.00,2.00,3.00,0.00,1.00,2.00,2.00,2.00,1.00,0.00,291,1,1,52.65,1,1,1,1
Brazil,BRA,076,20200319,3.00,3.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,0.00,428,4,1,57.20,1,1,1,1
Brazil,BRA,076,20200321,3.00,3.00,2.00,3.00,2.00,1.00,2.00,3.00,2.00,1.00,0.00,904,11,1,61.74,1,1,1,1
Brazil,BRA,076,20200327,3.00,3.00,2.00,3.00,2.00,1.00,2.00,4.00,2.00,1.00,0.00,2915,77,1,64.02,1,1,1,1
Brazil,BRA,076,20200426,3.00,3.00,2.00,4.00,2.00,1.00,2.00,4.00,2.00,1.00,0.00,58509,4016,1,66.29,1,1,1,1
Brazil,BRA,076,20200505,3.00,3.00,2.00,4.00,2.00,2.00,2.00,4.00,2.00,1.00,0.00,107780,7321,1,69.32,1,1,1,1
Brazil,BRA,076,20200525,3.00,3.00,2.00,4.00,2.00,2.00,2.00,4.00,2.00,2.00,0.00,363211,22666,1,72.35,1,1,1,1
Brazil,BRA,076,20200601,3.00,2.00,2.00,4.00,2.00,2.00,2.00,4.00,2.00,2.00,0.00,514849,29314,1,69.32,1,1,1,1
Canada,CAN,124,20200126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1,0,1,9.85,1,1,1,1
